z1,r1_high_cpu,r1_low_cpu,r1_fast,r1_slow,r2_high_cpu,r2_low_cpu,r2_fast,r2_slow
0.1,.51851851851851850000,.44000000000000000000,.51500000000000000000,.50777777777777777800,.86373084176829556000,.10928463765434240200,.37450188994401031200,.59851358947862764000
0.2,.47750000000000000000,.46000000000000000000,.50000000000000000000,.45666666666666668200,.76759927082507730000,.20262608649705424200,.41623735172122271200,.55398800560090882400
0.3,.55714285714285712000,.58666666666666666000,.49000000000000000000,.61666666666666666000,.67875861177747968000,.29762683347589009000,.31768174032324975200,.65870370493012004000
0.4,.53888888888888892000,.45000000000000000000,.48333333333333333000,.51666666666666669000,.62001221001221000000,.35406593406593406400,.36338217338217338000,.61069597069597072000
0.5,.55600000000000000000,.41600000000000000000,.46500000000000000000,.49999999999999998800,.58400139055311468000,.38798236660305626800,.37930768206630274600,.59267607508986817000
0.6,.53000000000000000000,.52666666666666665000,.46000000000000000000,.57333333333333333000,.38958307845732354800,.58457175269427114000,.32957080733598032400,.64458402381561434800
0.7,.51999999999999998000,.53714285714285713200,.43000000000000000000,.60000000000000001000,.25726792969440027200,.71771065182829886000,.31085651828298886000,.66412206323971030000
0.8,.60000000000000000000,.54000000000000000000,.61000000000000000000,.51333333333333332000,.17921850789055484400,.79446231106906088000,.43498899014306204000,.53869182881655368000
0.9,.52000000000000000000,.55111111111111110000,.55000000000000000000,.54666666666666666000,.07829203883656520920,.89657435398785370000,.38592026993615195000,.58894612288826698000
1.0,0,.54066666666666666000,.59000000000000000000,.50777777777777778000,0,.97423772609819118000,.41857881136950904200,.55565891472868216000
