z0,r1_high_cpu,r1_low_cpu,r1_fast,r1_slow,r2_high_cpu,r2_low_cpu,r2_fast,r2_slow
0.1,.49833333333333334000,.49944444444444448000,.48777777777777775000,.60000000000000000000,.36967940467940469000,.60351714351714352000,.88145530145530144000,.09174124674124674200
0.2,.41000000000000000000,.55000000000000002000,.48750000000000000000,.52000000000000000000,.33350552680339914200,.63988930419781486000,.78664206759951442000,.18675276340169956600
0.3,.50250000000000000000,.51777777777777777000,.52714285714285712800,.47555555555555556000,.37999011857707509800,.59354283683517093200,.74035001040149780000,.23318294501074821600
0.4,.49416666666666668000,.50000000000000000600,.49611111111111112000,.50000000000000000000,.38584829995100090800,.58585322723253760000,.56427830381070477200,.40742322337283370800
0.5,.43500000000000000000,.57777777777777777000,.56133333333333332000,.48000000000000000000,.31180180180180180400,.66238738738738740000,.55743243243243245200,.41675675675675677200
0.6,.51083333333333332000,.48666666666666667600,.49250000000000000000,.49888888888888892000,.38962577962577962800,.58400727650727650000,.35661469161469163200,.61701836451836454000
0.7,.46833333333333334000,.49444444444444445000,.40666666666666666800,.51714285714285710000,.38669803880330196200,.58558015084330878000,.25299945668366721000,.71927873296294346000
0.8,.47000000000000000000,.58166666666666668000,.61500000000000000000,.51750000000000000000,.34067713850468610400,.63312913777639418000,.25508934786650352000,.71871692841457680000
0.9,.56000000000000000000,.50000000000000000000,.28000000000000000000,.55111111111111113000,.41393674489103519400,.55759331553236924000,.05259391771019678200,.91893614271320768000
1.0,.49250000000000000000,.51888888888888890800,0,.50833333333333335000,.39843449580291685400,.57668710311567454000,0,.97512159891859140000
